User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location
1.0,56.0,Male,2.61,7.15,24.0,4.43,0.55,2.4,Los Angeles
2.0,46.0,Male,2.13,13.79,18.0,4.67,4.42,2.43,Chicago
3.0,32.0,Female,7.28,4.5,11.0,4.58,1.71,2.83,Houston
4.0,25.0,Female,1.2,6.29,21.0,3.18,3.42,4.58,Phoenix
5.0,38.0,Male,6.31,12.59,14.0,3.15,0.13,4.0,New York
6.0,56.0,Female,3.31,1.04,21.0,2.02,3.45,2.26,Chicago
7.0,36.0,Male,4.81,1.52,24.0,3.76,1.58,3.59,Los Angeles
8.0,40.0,Male,9.53,8.85,11.0,2.66,0.28,2.93,Chicago
9.0,28.0,Male,11.35,12.8,9.0,3.39,3.05,2.46,Phoenix
10.0,28.0,Male,1.8,4.11,16.0,2.14,1.2,0.96,New York
11.0,41.0,Female,6.88,7.11,21.0,3.66,1.93,2.32,Chicago
12.0,53.0,Female,10.71,6.86,21.0,4.12,0.4,1.23,Phoenix
13.0,57.0,Female,1.91,7.15,4.0,0.73,0.74,4.57,Los Angeles
14.0,41.0,Male,10.07,9.09,11.0,4.16,1.49,1.68,Houston
15.0,20.0,Male,4.94,7.11,15.0,2.7,0.45,4.76,Los Angeles
16.0,39.0,Male,4.54,6.82,17.0,4.22,4.55,2.67,New York
17.0,19.0,Female,11.75,7.17,5.0,2.16,0.03,3.16,Los Angeles
18.0,41.0,Male,3.21,8.68,13.0,1.9,2.42,2.71,Los Angeles
19.0,47.0,Female,8.63,7.98,23.0,4.58,0.62,0.65,Los Angeles
20.0,55.0,Female,10.04,12.1,16.0,1.26,1.54,1.88,Los Angeles
21.0,19.0,Female,1.45,1.64,27.0,4.22,4.63,0.5,New York
22.0,38.0,Female,8.37,11.83,10.0,2.42,0.81,3.11,Phoenix
23.0,50.0,Female,11.47,11.97,20.0,2.57,4.83,2.23,Chicago
24.0,29.0,Female,2.37,4.7,21.0,1.54,1.03,3.89,Houston
25.0,39.0,Male,10.86,7.02,18.0,2.87,3.71,1.1,Chicago
26.0,42.0,Male,7.54,6.7,4.0,1.63,2.73,0.82,Chicago
27.0,44.0,Female,7.78,3.84,10.0,0.2,4.42,2.03,Houston
28.0,59.0,Female,7.74,6.16,24.0,1.36,2.77,4.63,New York
29.0,45.0,Male,4.29,1.58,8.0,0.03,2.67,3.55,Houston
30.0,33.0,Female,11.29,4.61,14.0,4.89,0.98,2.09,New York
31.0,32.0,Female,11.42,11.62,17.0,4.83,0.83,2.59,Chicago
32.0,20.0,Male,7.88,4.7,27.0,1.98,4.58,0.42,New York
33.0,54.0,Female,9.62,11.64,10.0,3.64,1.64,4.92,Phoenix
34.0,24.0,Female,7.73,7.91,6.0,1.73,1.86,3.33,Houston
35.0,38.0,Female,6.33,12.44,17.0,3.36,3.8,1.43,Phoenix
36.0,26.0,Male,8.27,8.47,22.0,4.03,1.69,2.93,Chicago
37.0,56.0,Male,7.08,1.39,27.0,4.73,4.76,0.55,Houston
38.0,35.0,Male,7.57,9.78,19.0,2.0,3.69,4.83,Chicago
39.0,21.0,Female,9.62,1.58,15.0,3.92,2.99,0.87,Phoenix
40.0,42.0,Female,6.29,6.86,20.0,1.33,4.4,3.24,Chicago
41.0,31.0,Male,1.45,13.08,4.0,4.95,0.25,1.23,Houston
42.0,26.0,Female,2.8,3.15,15.0,0.13,1.29,3.59,Houston
43.0,43.0,Female,5.82,6.07,15.0,3.02,2.33,3.88,Chicago
44.0,19.0,Female,8.97,10.49,24.0,3.3,1.13,3.37,Houston
45.0,37.0,Female,7.53,12.47,17.0,3.44,3.72,3.07,Houston
46.0,45.0,Female,8.15,9.72,22.0,0.6,4.6,4.46,Chicago
47.0,24.0,Male,6.27,4.36,29.0,4.69,2.12,0.39,Phoenix
48.0,25.0,Female,7.77,9.77,12.0,0.91,1.71,1.65,Houston
49.0,52.0,Male,4.62,4.86,5.0,3.11,4.81,1.24,Houston
50.0,31.0,Female,6.17,10.34,21.0,1.11,2.22,4.94,Houston
51.0,34.0,Male,9.19,13.4,5.0,1.54,2.45,1.95,Houston
