App,Category,Rating,Reviews,Size_MB,Installs,Type,Price_$,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Last_Updated_Year,Primary_Genre
"""i DT"" Fútbol. Todos Somos Técnicos.",SPORTS,4.3,27,3.6,500,Free,0.0,Everyone,Sports,2017-10-07,0.22,4.1,2017,Sports
+Download 4 Instagram Twitter,SOCIAL,4.5,40467,22.0,1000000,Free,0.0,Everyone,Social,2018-08-02,5.03,4.1,2018,Social
- Free Comics - Comic Apps,COMICS,3.5,115,9.1,10000,Free,0.0,Mature 17+,Comics,2018-07-13,5.0.12,5.0,2018,Comics
.R,TOOLS,4.5,259,0.2,10000,Free,0.0,Everyone,Tools,2014-09-16,1.1.06,1.5,2014,Tools
/u/app,COMMUNICATION,4.7,573,53.0,10000,Free,0.0,Mature 17+,Communication,2018-07-03,4.2.4,4.1,2018,Communication
058.ba,NEWS_AND_MAGAZINES,4.4,27,14.0,100,Free,0.0,Everyone,News & Magazines,2018-07-06,1.0,4.2,2018,News & Magazines
1. FC Köln App,SPORTS,4.6,2019,41.0,100000,Free,0.0,Everyone,Sports,2018-07-20,1.13.0,4.4,2018,Sports
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8,500000,Free,0.0,Everyone 10+,Health & Fitness,2017-02-17,1.9,2.3.3,2017,Health & Fitness
10 Minutes a Day Times Tables,FAMILY,4.1,681,48.0,100000,Free,0.0,Everyone,Education,2014-07-03,1.2,2.2,2014,Education
10 WPM Amateur ham radio CW Morse code trainer,COMMUNICATION,3.5,10,3.8,100,Paid,1.49,Everyone,Communication,2018-05-12,2.1.4,2.1,2018,Communication
"10,000 Quotes DB (Premium)",BOOKS_AND_REFERENCE,4.1,70,3.5,500,Paid,0.99,Everyone,Books & Reference,2013-08-30,1.3,2.1,2013,Books & Reference
100 Doors of Revenge,FAMILY,4.1,41339,48.0,2498500,Free,0.0,Teen,Puzzle,2018-05-24,2.2.2,4.4,2018,Puzzle
100+ C Programs,FAMILY,4.2,20,1.6,5000,Free,0.0,Everyone,Education,2017-01-03,1.0,4.0,2017,Education
"100000+ Messages - DP, Status, Jokes & GIF 2018",LIFESTYLE,3.7,121,3.8,10000,Free,0.0,Mature 17+,Lifestyle,2017-12-29,1.0.1,4.0.3,2017,Lifestyle
101 C Programming Problems,FAMILY,4.6,498,5.0,50000,Free,0.0,Everyone,Education,2017-10-15,2.0,4.0.3,2017,Education
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,4.4,41339,25.0,1000000,Free,0.0,Everyone,Business,2018-07-27,1.12.5,4.0,2018,Business
11st,SHOPPING,3.8,41339,20.0,2498500,Free,0.0,Everyone,Shopping,2018-07-31,7.8.1,4.0,2018,Shopping
12 Step Meditations & Sober Prayers AA NA AL-ANON,LIFESTYLE,4.7,759,15.0,50000,Free,0.0,Everyone 10+,Lifestyle,2018-01-22,1.4.5,4.1,2018,Lifestyle
14thStreetVet,MEDICAL,4.3,0,29.0,5,Free,0.0,Everyone,Medical,2018-07-16,300000.1.11,4.0.3,2018,Medical
17th Edition Cable Sizer,BOOKS_AND_REFERENCE,4.4,47,1.4,1000,Paid,3.08,Everyone,Books & Reference,2016-05-27,1.22,2.2,2016,Books & Reference
1800 Contacts - Lens Store,MEDICAL,4.7,23160,26.0,1000000,Free,0.0,Everyone,Medical,2018-07-27,7.4.1,5.0,2018,Medical
1LINE – One Line with One Touch,GAME,4.6,41339,10.0,2498500,Free,0.0,Everyone,Board,2018-08-03,2.0.4,4.1,2018,Board
1st Fed CI Mobile Banking,FINANCE,4.3,0,31.0,500,Free,0.0,Everyone,Finance,2016-09-29,6.0.0.1775,4.1,2016,Finance
2 Amateur ham radio CW Morse code practice keys TX,COMMUNICATION,4.8,6,3.5,100,Paid,1.49,Everyone,Communication,2018-03-05,1.0.9,1.6,2018,Communication
2-Player Co-op Zombie Shoot,GAME,4.2,33,13.0,1000,Free,0.0,Teen,Action,2018-07-01,1.0.13,2.3,2018,Action
2000 AD Comics and Judge Dredd,COMICS,3.7,705,20.0,50000,Free,0.0,Teen,Comics,2018-07-19,1.3.0,4.0.3,2018,Comics
